nid	label
DTTBR4SF00038FO9	0
DTTBO2D900038FO9	0
DTU8RA9200038FO9	0
DTTLTIG100038FO9	1
DTTASC5800038FO9	0
DTTCPDB400037VVH	0
DTTBVIS600038FO9	0
DTTORDON00038FO9	0
DTTO4S2A00038FO9	0
DTTK0U6C00038FO9	0
DTTHTM1I00038FO9	0
DTTDC9U700038FO9	0
DTTCJS7K00038FO9	0
DTTCH2QB00038FO9	0
DTTCBMFI00038FO9	0
DTTNFL9H00038FO9	0
DTTJ2K4H00038FO9	0
DTTN9JA200038FO9	2
DTTK5TE900038FO9	0
DTTB1T1G00038FO9	0
DTTIS1P200038FO9	0
DTRQG83E00038FO9	0
DTRAS57M00038FO9	0
DTQOL9QL00038FO9	1
DTROLULF00038FO9	0
DTQOUEPK00038FO9	0
DTR06IR500038FO9	0
DTQOPLB100038FO9	0
DTRSP6LD00038FO9	5
DTSBVHTC00038FO9	1
DTRSBEUS00038FO9	0
DTQP5O7C00038FO9	2
DTRDKSJ400038FO9	0
DTQVOTV600038FO9	1
DTRKJ2O300038FO9	1
DTR2LTS700038FO9	2
DTQQ3T4K00038FO9	0
DTR7LEPE00038FO9	0
DTS49PLF00038FO9	5
DTRRAPHO00038FO9	0
DTRFQ5F300038FO9	0
DTR66CCH00038FO9	0
DTRGSTOU00038FO9	0
DTR7HOFD00038FO9	0
DTR248DN00038FO9	0
DTRV2P6I00038FO9	0
DTRSIC5500038FO9	0
DTRDB2RN00038FO9	0
DTR6CQ5S00038FO9	2
DTR2HJGI00038FO9	0
DTQRGALJ00038FO9	0
DTQPUEGA00038FO9	2
DTREH2JP00038FO9	0
DTR3Q54G00038FO9	0
DTQVSAQE00038FO9	0
DTQQ9OD300038FO9	0
DTQQUPC000038FO9	2
DTR5GML000038FO9	0
DTR39C3000038FO9	0
DTTII5JB00038FO9	0
DTTQ79CH00038FO9	0
DTUC6HAV00038FO9	0
DTTMIJE200038FO9	0
DTTBG7EQ00038FO9	0
DTTQHSSR00038FO9	0
DTTQRTH000038FO9	0
DTUF9QFA00038FO9	0
DTTN4V4V00038FO9	0
DTU2ND1400038FO9	0
DTTM79G900038FO9	0
DTU7MLG900038FO9	0
DTTJ7ADV00038FO9	0
DTUKVI2600038FO9	0
DTU9D38O00038FO9	0
DTUKQE6T00038FO9	0
DTVTDL1O00038FO9	0
DTU0H73700038FO9	0
DTU1PTM600038FO9	0
DTU7Q5PA00038FO9	2
DTTFP6R300038FO9	0
DTV0A8SC00038FO9	0
DTV17N3200038FO9	0
DTVUI82M00038FO9	0
DU09BNK000038FO9	0
DU07CO2R00038FO9	0
DTVVABR000038FO9	0
DU0VGSUS00038FO9	0
DU0S42RC00038FO9	0
DU154TSN00038FO9	0
DTVV0RTU00038FO9	5
DTVUMEJC00038FO9	0
DU0IPTEH00038FO9	0
DU0ANE5V00038FO9	0
DU0F71IM00038FO9	0
DTUO829U00038FO9	0
DU0T3J5100038FO9	0
DU19RU4400038FO9	0
DU2H3JR600038FO9	0
DU2GVJ4S00038FO9	0
DU2GSA4L00038FO9	0
DU2IC2B000038FO9	0
DU2N84ON00038FO9	0
DU2KFAAN00038FO9	0
DU2KFAAN00038FO9	0
DTVVL03400038FO9	2
DU0MF5NM00038FO9	0
DU0V3OTF00038FO9	0
DTVT9FFN00038FO9	0
DU11BV8400038FO9	0
DU1J6NU600038FO9	0
DU0U8F5V00038FO9	0
DTU4LBSM00038FO9	2
DU2IJL6800038FO9	2
DU2I589C00038FO9	0
DU2SL7EA00038FO9	0
DU2QUMUL00038FO9	0
DU330URT00038FO9	0
DU2V2Q4000267VQQ	0
DU2Q5I4O00038FO9	0
DU2LNA7V00038FO9	0
DU175FKC00038FO9	2
DU2H780G00038FO9	0
DU2J2G0000038FO9	2
DU1A0IPG00038FO9	0
DU43U41I00038FO9	0
DU3TMPB100038FO9	0
DU5BEOVO00038FO9	0
DU59GC4I00038FO9	0
DU56QMG500038FO9	0
DU550BVF00038FO9	0
DU53AL6K00038FO9	2
DU3J0J0I00038FO9	0
DU2I2RO400038FO9	0
DU2UJJ5A00038FO9	0
DU38FK7300038FO9	0
DU3IIIVK00038FO9	0
DU4685BD00038FO9	0
DU3ITVQO00038FO9	0
DU34O62600038FO9	0
DU37C4EK00038FO9	0
DU36CCMI00038FO9	0
DU422CL400038FO9	5
DU3IK65N00038FO9	0
DU53NGE700038FO9	0
DU59CGI200038FO9	0
DU52CI8K00038FO9	0
DU5F4DMJ00038FO9	0
DU5H9H0L00038FO9	0
DU544B3000038FO9	0
DU5CLJ8M00038FO9	0
DU53KHGI00038FO9	0






